id,emotion
Training_10118481.jpg,angry
Training_10120469.jpg,angry
Training_10131352.jpg,angry
Training_10161559.jpg,angry
Training_1021836.jpg,angry
Training_10269675.jpg,angry
Training_10278738.jpg,angry
Training_10290703.jpg,angry
Training_10295477.jpg,angry
Training_10315441.jpg,angry
Training_10316849.jpg,angry
Training_10333072.jpg,angry
Training_10334355.jpg,angry
Training_10345473.jpg,angry
Training_10422050.jpg,angry
Training_10485618.jpg,angry
Training_10503476.jpg,angry
Training_10524198.jpg,angry
Training_10539399.jpg,angry
Training_10592361.jpg,angry
Training_10595751.jpg,angry
Training_10608067.jpg,angry
Training_10740356.jpg,angry
Training_10851653.jpg,angry
Training_10857340.jpg,angry
Training_10882484.jpg,angry
Training_10899258.jpg,angry
Training_10922970.jpg,angry
Training_10967257.jpg,angry
Training_11023881.jpg,angry
Training_11036720.jpg,angry
Training_11102431.jpg,angry
Training_11175213.jpg,angry
Training_11185740.jpg,angry
Training_1119091.jpg,angry
Training_11206889.jpg,angry
Training_1120923.jpg,angry
Training_11247006.jpg,angry
Training_11262281.jpg,angry
Training_11275727.jpg,angry
Training_1127865.jpg,angry
Training_11292723.jpg,angry
Training_11306820.jpg,angry
Training_11319077.jpg,angry
Training_11330391.jpg,angry
Training_1133567.jpg,angry
Training_11350676.jpg,angry
Training_11359731.jpg,angry
Training_11393282.jpg,angry
Training_11478843.jpg,angry
Training_11533347.jpg,angry
Training_11566408.jpg,angry
Training_11571868.jpg,angry
Training_11576563.jpg,angry
Training_11579481.jpg,angry
Training_11596465.jpg,angry
Training_11666027.jpg,angry
Training_11666709.jpg,angry
Training_11713762.jpg,angry
Training_1173634.jpg,angry
Training_11745938.jpg,angry
Training_11749309.jpg,angry
Training_11769417.jpg,angry
Training_11769870.jpg,angry
Training_11770015.jpg,angry
Training_11808005.jpg,angry
Training_11820572.jpg,angry
Training_1184435.jpg,angry
Training_11860503.jpg,angry
Training_11888118.jpg,angry
Training_11917747.jpg,angry
Training_1193977.jpg,angry
Training_11940623.jpg,angry
Training_11947615.jpg,angry
Training_11954904.jpg,angry
Training_11983206.jpg,angry
Training_11990539.jpg,angry
Training_12006812.jpg,angry
Training_12017013.jpg,angry
Training_12037449.jpg,angry
Training_12045034.jpg,angry
Training_12075336.jpg,angry
Training_12091917.jpg,angry
Training_12095508.jpg,angry
Training_12095988.jpg,angry
Training_12148960.jpg,angry
Training_12155031.jpg,angry
Training_12168970.jpg,angry
Training_12172696.jpg,angry
Training_12175445.jpg,angry
Training_12216843.jpg,angry
Training_12250673.jpg,angry
Training_12295489.jpg,angry
Training_12383687.jpg,angry
Training_12391352.jpg,angry
Training_12407292.jpg,angry
Training_12409483.jpg,angry
Training_12450586.jpg,angry
Training_12469031.jpg,angry
Training_12513174.jpg,angry
Training_12524483.jpg,angry
Training_12565431.jpg,angry
Training_12604769.jpg,angry
Training_12661221.jpg,angry
Training_12675274.jpg,angry
Training_12686673.jpg,angry
Training_12695814.jpg,angry
Training_12775696.jpg,angry
Training_12776681.jpg,angry
Training_12812647.jpg,angry
Training_12837353.jpg,angry
Training_12861782.jpg,angry
Training_12890896.jpg,angry
Training_1294170.jpg,angry
Training_12961021.jpg,angry
Training_12974019.jpg,angry
Training_13039915.jpg,angry
Training_13040296.jpg,angry
Training_13043913.jpg,angry
Training_13064272.jpg,angry
Training_13081843.jpg,angry
Training_13145953.jpg,angry
Training_13196511.jpg,angry
Training_13202061.jpg,angry
Training_13221971.jpg,angry
Training_13282534.jpg,angry
Training_1329550.jpg,angry
Training_13304793.jpg,angry
Training_13325591.jpg,angry
Training_13489272.jpg,angry
Training_13521344.jpg,angry
Training_13605605.jpg,angry
Training_13607820.jpg,angry
Training_13644751.jpg,angry
Training_13659242.jpg,angry
Training_13677471.jpg,angry
Training_13689420.jpg,angry
Training_13742442.jpg,angry
Training_13772540.jpg,angry
